name,address,opening_hour,closing_hour,opening_days,phone_number,category,description,image
L'île aux fruits,"Halles centrales, 3500 RENNES",8,19,"[1, 2, 3, 4, 5, 6]",+33255509193,Fruits et légumes,"Notre magasin vous propose de nombreux fruits et légumes. Dans notre établissement, vous pourrez acheter une large variété de condiments (aromates, épices et herbes), une grande quantité de légumes (légumes anciens ou exotiques, légumes secs et champignons), des fruits bio, ainsi que des fruits (fruits exotiques et fruits secs). Essayez nos truffes. Nous vous offrons des articles certifiés AOP et AOC. Notre commerce possède un accès pour les personnes handicapées. Nous disposons d'un parking pour notre clientèle.","https://res.cloudinary.com/dlu9wclb0/image/upload/v1606412548/maraichere_a1mg2f.jpg"
ADN - L'atelier de Nabil,"6 rue Binquenais, 35200 RENNES",9,20,"[2, 3, 4, 5, 6]",+33223307723,Boucher,"L'atelier de Nabil est une boucherie halal charcuterie traiteur et épicerie fine. Situé à Rennes, nous vous proposons un large choix de produits pour ravir tous les consommateurs soucieux et respectueux de l'environnement.","https://res.cloudinary.com/dlu9wclb0/image/upload/v1606407494/boucherie_ioz9tb.jpg"
Poissonnerie SOHIER,"28 rue St Hélier, 35000 RENNES",8,19,"[1, 2, 4, 5, 6]",+33223488764,Poissonier,"Du poisson qui a belle allure, un accueil toujours souriant... un vrai poissonnier qui prépare le poisson avec dextérité et soin... le tout dans une rue commerçante bien achalandée! A conseiller.","https://res.cloudinary.com/dlu9wclb0/image/upload/v1606407499/poissonnerie_ikixld.jpg"
Le Liquoriste,"1 rue Emmanuel Pongérard, 35000 RENNES",10,19,"[1, 2, 3, 4, 5, 6]",+33950005010,Caviste,"Bienvenue chez votre ""Liquoriste"". Notre équipe vous accueille le lundi de 14h à 20h et du mardi au samedi de 10h à 20h en continu.Notre but: vous faire découvrir des spiritueux sélectionnés aux 4 coins de l'Europe et du reste du monde.","https://res.cloudinary.com/dlu9wclb0/image/upload/v1606407664/caviste_yrq8qi.jpg"
Dolce Italia,"11 rue Jules Simon, 35000 RENNES",8,19,"[1, 2, 3, 4, 5, 6]",+33299790619,Epicerie fine,"Retrouvez nos 2 boutiques pleine d'amore vous proposant nos services de traiteur à emporter, plats préparés sur place, pizza, pâtes fraîches, antipasti, fromages e ancora di più!","https://res.cloudinary.com/dlu9wclb0/image/upload/v1606407491/italien_nket3f.jpg"
Laiterie Gilbert,"88 Bis rue Paris, 35000 RENNES",9,19,"[2, 3, 4, 5, 6]",+33299279424,Fromager,"Le fromage, est notre passion et nous voulons la partager avec vous. Laiterie Gilbert vous propose les meilleurs goûts. Faites votre commande.","https://res.cloudinary.com/dlu9wclb0/image/upload/v1606407517/fromagerie_hget3u.jpg"
Le Saint-Georges,"17 rue Jules Simon, 35000 RENNES",8,19,"[2, 3, 4, 5, 6, 7]",+33299782007,Crêpier,Des crêpes pour mieux vous servir!,"https://res.cloudinary.com/dlu9wclb0/image/upload/v1606407580/creperie_binh8x.jpg"
Plaisir du Goût,"15 av Pologne, 35200 RENNES",6,19,"[2, 3, 4, 5, 6]",+33299509172,Boulanger,"Installés à Rennes, nous vous attendons pour épater et réjouir votre palais avec des gourmandises sucrées ou salées, toutes fait maison, que nous vous avons préparés.","https://res.cloudinary.com/dlu9wclb0/image/upload/v1606407652/boulangerie_fbs6w9.jpg"
